Group,Forest Type Group
920,Western oak group
370,California mixed conifer group
220,Ponderosa pine group
360,Other western softwoods group
940,Tanoak/laurel group
260,Fir/spruce/mountain hemlock
180,Pinyon/juniper
200,Douglas-fir group
340,Redwood group
999,Nonstocked
960,Other hardwoods group
280,Lodgepole pine group
970,Woodlands hardwoods group
910,Alder/maple group
900,Aspen/birch group
300,Hemlock/sitka spruce group
240,Western white pine group
700,Elm/ash/cottonwood group
990,Exotic hardwoods group
